CAB,MONTH,SOURCE,KAT,NOM
CBIMAY,01-Jul-24,INVOICE,SHOPEEPAY,810917117
CBIMAY,01-Jul-24,WEB,CASH,2002469500
CBIMAY,01-Jul-24,WEB,EDC,165668000
CBIMAY,01-Jul-24,WEB,GO RESTO,323506419
CBIMAY,01-Jul-24,WEB,GRAB FOOD,239369264
CBIMAY,01-Jul-24,WEB,QRIS SHOPEE,251050000
CBIMAY,01-Jul-24,WEB,SHOPEEPAY,810594075
CBNPEM,01-Apr-24,INVOICE,GO RESTO,152830149
CBNPEM,01-Apr-24,INVOICE,GRAB FOOD,402012610
CBNPEM,01-Apr-24,INVOICE,QRIS SHOPEE,24925001
CBNPEM,01-Apr-24,INVOICE,SHOPEEPAY,353164593
CBNPEM,01-Apr-24,WEB,GO RESTO,153327000
CBNPEM,01-Apr-24,WEB,GRAB FOOD,403262014
CBNPEM,01-Apr-24,WEB,QRIS SHOPEE,24944500
CBNPEM,01-Apr-24,WEB,SHOPEEPAY,354022500
CBNPEM,01-Aug-24,INVOICE,GO RESTO,134092252
CBNPEM,01-Aug-24,INVOICE,GRAB FOOD,317114349.9
CBNPEM,01-Aug-24,INVOICE,QRIS SHOPEE,91040504
CBNPEM,01-Aug-24,INVOICE,SHOPEEPAY,428802163
CBNPEM,01-Aug-24,WEB,CASH,1688240500
CBNPEM,01-Aug-24,WEB,EDC,70857000
CBNPEM,01-Aug-24,WEB,GO RESTO,134290258
CBNPEM,01-Aug-24,WEB,GRAB FOOD,317397876
CBNPEM,01-Aug-24,WEB,QRIS SHOPEE,90227500
CBNPEM,01-Aug-24,WEB,SHOPEEPAY,429511500
CBNPEM,01-Feb-24,INVOICE,GO RESTO,76164149
CBNPEM,01-Feb-24,INVOICE,GRAB FOOD,210234158.6
CBNPEM,01-Feb-24,INVOICE,SHOPEEPAY,159588503
CBNPEM,01-Feb-24,WEB,GO RESTO,76401000
CBNPEM,01-Feb-24,WEB,GRAB FOOD,210257070
CBNPEM,01-Feb-24,WEB,QRIS SHOPEE,11000
CBNPEM,01-Feb-24,WEB,SHOPEEPAY,159927500
CBNPEM,01-Jul-24,INVOICE,GO RESTO,212539052
CBNPEM,01-Jul-24,INVOICE,GRAB FOOD,352689318
CBNPEM,01-Jul-24,INVOICE,SHOPEEPAY,421482669
CBNPEM,01-Jul-24,WEB,CASH,1772112500
CBNPEM,01-Jul-24,WEB,EDC,89784000
CBNPEM,01-Jul-24,WEB,GO RESTO,212522500
CBNPEM,01-Jul-24,WEB,GRAB FOOD,352975199
CBNPEM,01-Jul-24,WEB,SHOPEEPAY,422085000
CBNPEM,01-Mar-24,INVOICE,GO RESTO,78784894
CBNPEM,01-Mar-24,INVOICE,GRAB FOOD,255464248
CBNPEM,01-Mar-24,INVOICE,QRIS SHOPEE,42921501
CBNPEM,01-Mar-24,INVOICE,SHOPEEPAY,250699111
CBNPEM,01-Mar-24,WEB,GO RESTO,78789000
